ID Number,Site Name,Mobile Number,Address,Firm Name,Party Print Name,Sales Man Name,Item Group,Order Value,Item Name,Item Qty,Tank Type,Tank Qty,Remark
00106/25-26,Yashada Supreme Phase 2,,"Yashada Supreme Phase 2
A/p Dudulgaon  Alandi Dehu Road 
Pune, Maharashtra 
India",Insiya Trading,Yashada Supreme Phase 2,SAGAR PHARATE,Boom Barrier,12000,Boom Arm,1,,,
00220/24-25,YASHADA SUPREME PHASE 2 (BOOM),,"YASHADA SUPREME PHASE 2 (BOOM)
Dudulgaon, Moshi",Insiya Trading,YASHADA HOLDINGS,SAGAR PHARATE,Boom Barrier,,Boom Barrier IZ-2003,2,,,
00025/25-26,Nilay Muley,,"B 803 , Siciliaa Society, 
B.T. Kawade Road, Near Chitale Stores
Ghorpadi, Pune 411001 
Pune, Maharashtra 
India",Insiya Trading,Nilay Muley,,Cooler,,Swift Coller,2,,,
00213/24-25,Pardeshi,,"Wadgaonsheri Near Anjali school pune 411014 
Pune, Maharashtra 
India",Insiya Trading,Pardeshi,,Cooler,,Cooler Motor 1/7HP,1,,,
00037/25-26,Prakash,,"Yashwant Nagar kharadi
Pune 411014 
Pune, Maharashtra 
India",Insiya Trading,Prakash,SAGAR PHARATE,Cooler,,Coolar Motar cw,1,,,
00014/26-27,Santosh Mehetre,088304 59081,"Sangavi 
Pune, Maharashtra - 411027 
India",Insiya Trading,Santosh Mehetre,SAGAR PHARATE,Cooler,,Cooler circulation pump 18 watt,1,,,
00051/25-26,Tappan kumar Datta,,"Tingare Nagtar, Pune 
Pune, Maharashtra 
India",Insiya Trading,Tappan kumar Datta,,Cooler,,Cooler circulation pump 18 watt,1,,,
00050/24-25,Mr. Chavan Dehu Road,,"Dehu Road 
Pune, Maharashtra - 412101 
India",Insiya Trading,Mr. Chavan Dehu Road,SAGAR PHARATE,Default,,Digital Lock,1,,,
00192/24-25,Vikas Rode,,"Aurangabad
Maharashtra 
Pune, Maharashtra 
India",Insiya Trading,Vikas Rode,,Default,,INS-AIO 786 Digital Lock,1,,,
00052/24-25,YASHWIN ORIZZONTE E,,"YASHWIN ORIZZONTE E
Kharadi Pune
411014 
Pune, Maharashtra - 411014 
India",Insiya Trading,VILAS JAVDEKAR GREENSCAPE DEVELOPERS LLP,SAGAR PHARATE,Fire Door,,Fire Dust Door,20,,,
00053/24-25,Yashwin PKC,,"Yashwin PKC
kharadi pune 411014 
Pune, Maharashtra - 411014 
India Pune Maharashtra ",Insiya Trading,SANKALP CONTRACTS PRIVATE LIMITED,SAGAR PHARATE,Fire Door,,Fire Dust Door,1,,,
00210/24-25,CANTONMENT GENERAL HOSPITAL,,"DISTRICT PUNE DEHU ROAD 411031 
Pune, Maharashtra 
India",Insiya Trading,CANTONMENT GENERAL HOSPITAL,,PV,,MCB Switch 4 pole 40 amp,1,,,
00015/24-25,Ajit Gavhane,7588874019,"Bhosari 
Pune, Maharashtra 
India",Insiya Trading,Ajit Gavhane,SAGAR PHARATE,PV,,SOLAR ELECTRIC GEYSER,1,,,
00034/24-25,AMIT ARUN DESHMUKH,9850379369,"Kharadi Bypass 
Pune, Maharashtra - 411014 
India",Insiya Trading,AMIT ARUN DESHMUKH,SAGAR PHARATE,PV,259840,Solar Rooftop System ,4,,,
00073/24-25,BASUDEB RAJAGOPAL IYER,,"S No 299, Rh6 Nirvana life county, Lohegaon Rd 2pune 411047 
Pune, Maharashtra 
India",Insiya Trading,BASUDEB RAJAGOPAL IYER,,PV,,Goodwe 3kw 1ph Solar Inverter,1,,,
00013/25-26,Devdatta Joshi,8446756644,"Abhilasha hights flat no.106, near row fitness gym, mhasoba wasti, manjari budruk, pune. 
Pune, Maharashtra 
India",Insiya Trading,Devdatta Joshi,SAGAR PHARATE,PV,7500,Family Air Cooler,1,,,
00072/24-25,DILIP GUNA PAWAR,,"S No 299, Rh9 Nirvana life county, Lohegaon Rd Dhanori pune 411047 
Pune, Maharashtra 
India",Insiya Trading,DILIP GUNA PAWAR,,PV,,Goodwe 3kw 1ph Solar Inverter,1,,,
00032/26-27,Finswel Bldg,,"Viman nagar 
Pune, Maharashtra - 411014 
India",Insiya Trading,Finswel Bldg,SAGAR PHARATE,PV,,MCB Switch 4 pole 63 amp,1,,,
00086/24-25,GOUD SHAKTISINGH RAMSINGH,,"S no 44, somnath nagar, wadgaonsheri pune 411014 
Pune, Maharashtra 
India",Insiya Trading,GOUD SHAKTISINGH RAMSINGH,,PV,,Pv Structure front Leg 6ft x 185mm,2,,,
00017/25-26,INFINITY WORLD D,,"INFINITY WORLD D
PUNAWALE, PUNE, 411033 
Pune, Maharashtra 
India",Insiya Trading,TULIP DEVELOPERS,SAGAR PHARATE,PV,,Aluminium Armour Cable 10Sqmm x 4core,120,,,
00003/24-25,Malti Madhukar Deokar,,"SNO-69, SHRAMIK NGR, SHIVSMRUTI, NR-AJINKYA CLUB HELATH, DIGHI, 411015 
Pune, Maharashtra - 411015 
India",Insiya Trading,Malti Madhukar Deokar,SAGAR PHARATE,PV,0,Renewsys Monofacial DCR Pannel 545wp,6,,,
00085/24-25,MANE UMADEVI UMAKANT,,"S no 44, somnath nagar, wadgaonsheri pune 411014 
Pune, Maharashtra 
India",Insiya Trading,MANE UMADEVI UMAKANT,,PV,,Pv Structure front Leg 6ft x 185mm,3,,,
00097/25-26,Mayur Manharlal Kapadia,9374714879,"32, Jiviba Park Society B/N  China Town , Univercity  Road , VTC :Surat , PO : Althan 
Sub District :-Surat City,  District :- Surat 
State :- Gujrat PIN:- 395017 
SURAT, Gujarat 
India",Insiya Trading,Mayur Manharlal Kapadia,ASHFAQUE INAMDAR,PV,140000,Enamel Coated Tank 500 LPD,1,,,
00013/24-25,Mohit Aggarwal,8168016773,"Ap Khese Park Lohgaon pune 
Pune, Maharashtra - 411032 
India",Insiya Trading,Mohit Aggarwal,SAGAR PHARATE,PV,200000,Solar Rooftop System ,3,,,
00074/24-25,Nidhi chourasia Arpit Chaurishi,,"S No 299, Rh19 Nirvana life county, Lohegaon Rd Dhanori pune 411047 
Pune, Maharashtra 
India",Insiya Trading,Nidhi chourasia Arpit Chaurishi,,PV,,Goodwe 3kw 1ph Solar Inverter,1,,,
00070/26-27,Nikita Agarwal,9890442932,"Plot 1401, 46 Banyan Tree
Ghatols Farm Rd, Pune, Chandkhed, Maharashtra 410506 
Pune, Maharashtra - 410506 
India",Insiya Trading,Nikita Agarwal,SAGAR PHARATE,PV,180000,Enamel Coated Tank 500 LPD,1,,,
00005/24-25,Nirvana Life County Club House,9822226301,"survey no 299 Lohgaon Tal Haveli 
Pune, Maharashtra - 411047 
India",Insiya Trading,Nirvana Life County co-operating HSG Soc ltd,SAGAR PHARATE,PV,675000,Solar Rooftop System ,10,,,
00080/25-26,ORCA SYS PRIVATE LIMITED,9158221221,"FLAT NO 149,  
NEAR MARUTI MANDIR,BOPODI, PUNE
Maharashtra  411020 
Pune City, Maharashtra - 411020 
India",Insiya Trading,ORCA SYS PRIVATE LIMITED,SAGAR PHARATE,PV,127000,Enamel Coated Tank 500 LPD,1,,,
00011/25-26,PARMARNAGAR PHASE 1 CO OP HSG SOC LTD,9425600049,"Parmar Nagar B Building Common Mete Phase I Fatima Nagar Wanwadi Pune (M Corp.)
 Ta:PUNE CITY Di:PU NE 411040 
Pune, Maharashtra 
India",Insiya Trading,PARMARNAGAR PHASE 1 CO OP HSG SOC LTD,,PV,0,Solar Rooftop System ,13,,,
00042/24-25,PBC MHADA,,"CENTRO MALL, SHOP NO. C-301 THIRD FLOOR, S. NO. 200/1/2, 200/2 Palash Plus
KALEWADI WAKAD ROAD Pimpri Chinchwad
Maharashtra  411057 
Maharashtra - 411057 
India",Insiya Trading,SANKALP CONTRACTS PRIVATE LIMITED,SAGAR PHARATE,PV,33040,FIRE DUCT DOOR,100,,,
00043/24-25,PBC Tower 3,,"CENTRO MALL, SHOP NO. C-301 THIRD FLOOR, S. NO. 200/1/2, 200/2 Palash Plus
KALEWADI WAKAD ROAD Pimpri Chinchwad
Maharashtra  411057 
Maharashtra - 411057 
India",Insiya Trading,SANKALP CONTRACTS PRIVATE LIMITED,SAGAR PHARATE,PV,970385,FIRE DUCT DOOR,2937,,,
00076/24-25,PRACHI SAGAR GANDHI,,"S No 299, Rh20 Nirvana life county, Lohegaon Rd Dhanori pune 411047 
Pune, Maharashtra 
India",Insiya Trading,PRACHI SAGAR GANDHI,,PV,,Goodwe 3kw 1ph Solar Inverter,1,,,
00144/24-25,Prime Hospital,8999697143,"Prime Hospital
S.NO.4/1A/1
HISSA NO.24 A KONDHAWA (KH) PUNE 411001 
Pune, Maharashtra 
India",Insiya Trading,THE CRESCENT INDIA MEDICAL EDUCATION TRUST,,PV,,MS Pipe 100mm X 100mm X 1.6mm,20,,,
00031/24-25,RATNALAXMI APARTMENT,9923797946,"Ravet Near London Bridge 
Pune, Maharashtra - 412101 
India",Insiya Trading,RATNALAXMI CONSTRUCTION,SAGAR PHARATE,PV,291200,Solar Rooftop System ,5,,,
00272/25-26,Rohit Galande,,"Pune, Maharashtra 
India",Insiya Trading,Rohit Galande,,PV,,Sofar Inverter model no 11KTL-X,1,,,
00112/24-25,Rupesh Shinde,,"mohammadwadi
Pune, Maharashtra 
India",Insiya Trading,Rupesh Shinde,,PV,,Goodwe 3kw 1ph Solar Inverter,1,,,
00001/24-25,S V INDUSTRIES,,"G.NO.- 1544 156 168 171  SANASWADI
NAGAR ROAD SANASWADI SHIRUR
Maharashtra  412208 
Pune, Maharashtra - 412208 
India",Insiya Trading,S V INDUSTRIES,SUNIL MANE,PV,0,DC DB 16in 16out 80kw 3ph,1,,,
00055/25-26,satish chavan,9822659883,"Ravet Pune 
Pune, Maharashtra 
India",Insiya Trading,satish chavan,SAGAR PHARATE,PV,288750,Solar Photovoltic System,5,,,
00296/25-26,Shakil shaikh plumber,,"Koregaonbhima 
Pune, Maharashtra 
India",Insiya Trading,Shakil shaikh plumber,,PV,,"Copper Flexible Cable 2.5sqmm x 2core	",14,,,
00105/25-26,Shanti kunj,9822865989,"Wadgaon sheri pune 
Pune, Maharashtra 
India",Insiya Trading,Shanti kunj,ASHFAQUE INAMDAR,PV,91875,250 LPD complete system,1,,,
00018/24-25,SHRIKRISHNA  MULTISPECIALITY  HOSPITAL,,"Pune, Maharashtra 
India",Insiya Trading,SHRIKRISHNA  MULTISPECIALITY  HOSPITAL,SAGAR PHARATE,PV,136546,Electrical Duct Door (Fins),225.363,,,
00020/24-25,Siddhi Nisarg D Wing Premises Co-op So ltd,8530833321,"Ap Bhumkar Chouk Pune 411033 
Pune, Maharashtra - 411033 
India",Insiya Trading,siddhi Nisarg D Wing Premises Co-op So ltd,SAGAR PHARATE,PV,569000,Solar Rooftop System ,12,,,
00167/25-26,SOFARSOLAR RENEWABLE ENERGIES OPC PVT LTD,6357301117,"1204 - A, A Wing, Siddhivinayak Business Towers,
Kataria Automobiles Rd, Makarba,
Ahmedabad, Gujarat - 380051
 
Ahmadabad City, Gujarat - 380051 
India",Insiya Trading,SOFARSOLAR RENEWABLE ENERGIES OPC PVT LTD,,PV,,Sofar Inverter model no 11KTL-X,1,,,
00014/24-25,Sparrow Energy,7066211212,"Ap Moshi Pune 
Pune, Maharashtra - 412105 
India",Insiya Trading,Sparrow Energy,SAGAR PHARATE,PV,400,SILICON RING 58MM,20,,,
00075/24-25,Subhashish Mitra,,"S No 299, Rh17 Nirvana life county, Lohegaon Rd Dhanori pune 411047 
Pune, Maharashtra 
India",Insiya Trading,Subhashish Mitra,,PV,,Goodwe 3kw 1ph Solar Inverter,1,,,
00060/25-26,Sunil Jayawant Chavan,9822659883,"Sr.No. 40 Vikas nagar,Kivale, PCMC 
Pune, Maharashtra - 412101 
India",Insiya Trading,Sunil Jayawant Chavan,,PV,0,Solar Rooftop System ,5,,,
00099/25-26,Swapnali Anand Rasal,,"Sr no 39 Galli no 6 Matte nagar PUNE CITY PUNE Pune
411014 
Pune, Maharashtra 
India",Insiya Trading,Swapnali Anand Rasal,,PV,,MC4 connector (M/F) ,2,,,
00132/24-25,TECHNOMANIA ENERGY LLP,98819323225,"Sr No 112 Ground Floor Borude Niwas
Shivsai Nagar Pune
Maharashtra  411038 
Maharashtra - 411038 
India",Insiya Trading,TECHNOMANIA ENERGY LLP,,PV,,Citizen Solar PV Module NDCR 545Watt Bifacial,45,,,
00022/24-25,THE CHAIRMAN MADRASAETALIMUL QURAAN,7387977773,"MASJID HN-1/1,L/1&7 GALAXY
 	PL-23-24 SN-11 KONDHAWA KD KAUSARBAG PUNE 
Pune, Maharashtra 
India",Insiya Trading,THE CHAIRMAN MADRASAETALIMUL QURAAN,SAGAR PHARATE,PV,392000,Solar Rooftop System ,10,,,
00001/25-26,VIJAY DINESH JOSHI,,"Sadhana Society Hadapsar. Behind Sarswat Bank 
Pune, Maharashtra 
India",Insiya Trading,VIJAY DINESH JOSHI,SAGAR PHARATE,PV,191520,Solar Rooftop System ,3,,,
00005/25-26,VJ - CENTRAL AVENUE T5,8793640296,"SR NO 200/2,OFFICE NO 301, C- WING, PALASH PIUS,, PUNE, MAHARASHTRA, INDIA, PIN Code:411057 
Pune, Maharashtra 
India",Insiya Trading,SANKALP CONTRACTS PRIVATE LIMITED,SAGAR PHARATE,PV,13299,FIRE DUCT DOOR,40.252,,,
00006/25-26,YASHWIN ORIZZONTE C Bldg,,"CENTRO MALL, SHOP NO. C-301 THIRD FLOOR, S. NO. 200/1/2, 200/2 Palash Plus
KALEWADI WAKAD ROAD Pimpri Chinchwad
Maharashtra  411057 
Maharashtra - 411057 
India",Insiya Trading,SANKALP CONTRACTS PRIVATE LIMITED,SAGAR PHARATE,PV,43785,FIRE DUCT DOOR,132.52,,,
00002/25-26,YOGITA VIJAY JOSHI,,"Sadhana Society Behind Sarswat Bank Hadapsar 
Pune, Maharashtra 
India",Insiya Trading,YOGITA VIJAY JOSHI,SAGAR PHARATE,PV,127680,Solar Rooftop System ,2,,,
00075/25-26,Iftekharkhan Asad khan,,"S No 51/1/2, Poona college Enployees Co Op housing society wadgaonsheri pune 411014 
Pune, Maharashtra 
India",Insiya Trading,Iftekharkhan Asad khan,,PV,,Citizen Solar PV Module DCR 545Watt Bifacial,6,,,
00131/24-25,M/s NIPB INDUSTRIAL BRUSHES (I) PRIVATE,,"PLOT NO.D-138 VILLAGE BHAMBOLI PHASE II
CHAKAN INDUSTRIAL AREA Chakan
Maharashtra  410501 
Maharashtra - 410501 
India",Insiya Trading,M/s NIPB INDUSTRIAL BRUSHES (I) PRIVATE,,PV,,Citizen Solar PV Module Polycrystalline Non DCR 335Watt,7,,,
00065/24-25,Narendrakumar Rajmalji Gandhi,,"Flat No 1102, Hyde parikk Tower D Market Yard pune 411037 
Pune, Maharashtra 
India",Insiya Trading,Narendrakumar Rajmalji Gandhi,,PV,,ECE 540wp Mono Bifacial Dcr panel,11,,,
00157/24-25,PUNCA,,"UNIT NO.38 MIDC ELECTRONIC SADAN NO.1
BHOSARI BHOSARI
Maharashtra  411026 
Maharashtra - 411026 
India",Insiya Trading,PUNCA,,PV,,Citizen Solar PV Module DCR 545Watt Bifacial,9,,,
00010/24-25,PURNIMA SUNIL DAUNDE,,"S NO 56/3 WADGAON SHERI
DHANVANTARY COLONY
PUNE
411014 
Pune, Maharashtra 
India",Insiya Trading,PURNIMA SUNIL DAUNDE,,PV,,Renewsys Monofacial DCR Pannel 545wp,6,,,
00124/24-25,SAMBIT SWAIN,,"S No 299, Rh22 Nirvana life county, Lohegaon Rd Dhanori pune 411047 
Pune, Maharashtra 
India",Insiya Trading,SAMBIT SWAIN,,PV,,Citizen Solar PV Module DCR 545Watt Bifacial,4,,,
00004/24-25,Swapna Manoj Phulphagar,,"Pune, Maharashtra - 411001 
India",Insiya Trading,Swapna Manoj Phulphagar,SUNIL MANE,PV,,ECE 540wp Mono Bifacial Dcr panel,10,,,
